cluster_id,category,canonical_keyword,member_keyword,support_count,proposed,accept
55,others,รสชาติแปลกๆ,รสชาติแปลก ๆ,1,1,0
56,others,หร่อย,หรอย,2,1,0
56,others,หร่อย,หร่อย,2,1,1
57,others,นุ่มๆ,นุ่มๆ,7,1,1
57,others,นุ่มๆ,นุ่ม ๆ,1,1,0
58,others,เริ่ด,เริ่ด,15,1,1
58,others,เริ่ด,เริด,1,1,0
59,others,ตกใจ,ตกใจ!!,1,1,0
59,others,ตกใจ,ตกใจ,3,1,1
60,others,ไม่เลี่ยน,ไม่เลี่ยน,20,1,1
60,others,ไม่เลี่ยน,ไม่เลียน,1,1,0
61,others,หอมกะทิ,กะทิหอม,1,1,0
61,others,หอมกะทิ,หอมกะทิ,4,1,1
62,others,รสแซ่บ,รสแซ่บ,8,1,1
62,others,รสแซ่บ,รสแซ๊บ,1,1,0
62,others,รสแซ่บ,รสแซบ,2,1,0
63,others,ถึงรส,รสถึง,2,1,0
63,others,ถึงรส,ถึงรส,4,1,1
64,others,รสชาติถึง,ถึงรสชาติ,1,1,0
64,others,รสชาติถึง,รสชาติถึง,3,1,1
65,others,รออาหารนาน,อาหารรอนาน,1,1,0
65,others,รออาหารนาน,รออาหารนาน,1,1,1
66,others,No.1,no.1,1,1,0
66,others,No.1,No.1,2,1,1
67,others,กรอบมากๆ,กรอบมาก ๆ,1,1,0
67,others,กรอบมากๆ,กรอบมากๆ,3,1,1
68,others,เค็มๆ,เค็มๆ,5,1,1
68,others,เค็มๆ,เค็ม ๆ,1,1,0
69,others,รสเลิศ,รสเลิศ,5,1,1
69,others,รสเลิศ,เลิศรส,2,1,0
70,others,เปรี้ยวเผ็ดกำลังดี,เปรี้ยวเผ็ดกำลังดี,1,1,1
70,others,เปรี้ยวเผ็ดกำลังดี,เผ็ดเปรี้ยวกำลังดี,1,1,0
71,others,ร่วน,รวน,1,1,0
71,others,ร่วน,ร่วน,8,1,1
72,others,รสชาติงั้นๆ,รสชาติงั้นๆ,2,1,1
72,others,รสชาติงั้นๆ,รสชาติงั้น ๆ,1,1,0
73,others,แซ่บๆ,แซบๆ,1,1,0
73,others,แซ่บๆ,แซ่บๆ,7,1,1
73,others,แซ่บๆ,แซ่บ ๆ,1,1,0
74,others,แซ่บเว่อร์,แซ่บเวอร์,2,1,0
74,others,แซ่บเว่อร์,แซ่บเว่อร์,2,1,1
74,others,แซ่บเว่อร์,แซบเวอร์,1,1,0
75,others,ดี๊ ดี,ดี๊ ดี,1,1,1
75,others,ดี๊ ดี,ดี๊ดี,1,1,0
76,others,#กระเทียมกรอบ,กระเทียมกรอบ,1,1,0
76,others,#กระเทียมกรอบ,#กระเทียมกรอบ,1,1,1
77,others,หนึบๆ,หนึบๆ,2,1,1
77,others,หนึบๆ,หนึบ ๆ,1,1,0
78,others,ครบเครื่อง,ครบเครื่อง,3,1,1
78,others,ครบเครื่อง,เครื่องครบ,1,1,0
79,others,รสชาติอร่อยเข้มข้น,รสชาติเข้มข้นอร่อย,1,1,0
79,others,รสชาติอร่อยเข้มข้น,รสชาติอร่อยเข้มข้น,1,1,1
80,others,ติดรสหวาน,รสติดหวาน,1,1,0
80,others,ติดรสหวาน,ติดรสหวาน,1,1,1
81,others,แน่นๆ,แน่น ๆ,1,1,0
81,others,แน่นๆ,แน่นๆ,5,1,1
82,others,หอมมากๆ,หอมมากๆ,3,1,1
82,others,หอมมากๆ,หอมมาก ๆ,1,1,0
83,others,ยังไม่โดนเท่าไหร่,ยังไม่โดนเท่าไหร,1,1,0
83,others,ยังไม่โดนเท่าไหร่,ยังไม่โดนเท่าไหร่,1,1,1
84,others,เผ็ดเปรี้ยว,เผ็ดเปรี้ยว,2,1,1
84,others,เผ็ดเปรี้ยว,เปรี้ยวเผ็ด,1,1,0
85,others,หวานหอม,หอมหวาน,3,1,0
