cluster_id,canonical_restaurant,raw_restaurant_name,canonical_freq,raw_freq,location_name,proposed,accept
59,มาลองแด๊ก สาขา ถนน 345,มาลองแด๊ก สาขา ถนน 345,17,17,,1,1
60,มาลองแด๊ก สาขา ถนน 345 (Malongdag),มาลองแด๊ก สาขา ถนน 345 (Malongdag),2,2,,1,1
61,Naruemon Suki House,Naruemon Suki House,19,19,,1,1
62,แจ่วฮ้อนร้อยเอ็ด​สุนทร,แจ่วฮ้อนร้อยเอ็ด​สุนทร,37,37,,1,1
63,ร้านมันส์กุ้ง​ เบียร์การ์เด้น,ร้านมันส์กุ้ง​ เบียร์การ์เด้น,12,12,,1,1
64,นายแอร์ หมูจุ่มสาขา 1,นายแอร์ หมูจุ่มสาขา 1,51,51,,1,1
65,บ้านเพ็ญ สุกี้&กุ้งอบวุ้นเส้น,บ้านเพ็ญ สุกี้&กุ้งอบวุ้นเส้น,39,39,,1,1
66,Madamzabb,Madamzabb,22,22,,1,1
67,นัดนัว สุวรรณภูมิ Nud Nua,นัดนัว สุวรรณภูมิ Nud Nua,12,12,,1,1
68,กระทะร้อน & สเต็กลุงกว้าง,กระทะร้อน & สเต็กลุงกว้าง,4,4,,1,1
69,ณ ดอยหนอก - สายไหม • Na Doi Norg - SaiMai,ณ ดอยหนอก - สายไหม • Na Doi Norg - SaiMai,1,1,,1,1
70,Kanika Bar & Restaurant,Kanika Bar & Restaurant,3,3,,1,1
71,จิ้มจุ่มคุณศรี-หมูกระทะ อาหารไทยอีสาน,จิ้มจุ่มคุณศรี-หมูกระทะ อาหารไทยอีสาน,36,36,,1,1
72,ก๋วยเตี๋ยวเรือบัวนา,ก๋วยเตี๋ยวเรือบัวนา,23,23,,1,1
73,สุกี้ตี๋น้อย บิ๊กซีเพชรเกษม,สุกี้ตี๋น้อย บิ๊กซีเพชรเกษม,5,5,,1,1
74,คุณปลื้ม,คุณปลื้ม,4,4,,1,1
75,ครัวหมอหวัง by บารอกัต,ครัวหมอหวัง by บารอกัต,1,1,,1,1
76,บางหว้าขาหมู สาขาเอกชัย,บางหว้าขาหมู สาขาเอกชัย,49,49,,1,1
77,บิ๊กบอส เมี่ยงปลาเผา,บิ๊กบอส เมี่ยงปลาเผา,3,3,,1,1
78,ร้านอาหาร พาชวนชิม,ร้านอาหาร พาชวนชิม,35,35,,1,1
79,ร้านอาหารบ้านพริกสวน,ร้านอาหารบ้านพริกสวน,33,33,,1,1
80,Farm table restaurant,Farm table restaurant,33,33,,1,1
81,The 3 Us ปากเกร็ด,The 3 Us ปากเกร็ด,3,3,,1,1
82,ยุพาอาหารเวียดนาม,ยุพาอาหารเวียดนาม,5,5,,1,1
83,ครัว มานา นาดา,ครัว มานา นาดา,3,3,,1,1
84,ร้านอาหารลมพันท้าย,ร้านอาหารลมพันท้าย,36,36,,1,1
